conv_type,hidden_dim,n_layers,dropout,fold,accuracy,auroc
GATv2,128,3,0.5,0,0.97,0.9995324918186068
GATv2,128,3,0.5,1,0.99,0.9986979166666666
GATv2,128,3,0.5,2,0.94,0.9932241671372106
GATv2,128,3,0.5,3,0.96,1.0
GATv2,128,3,0.5,4,0.99,0.9995833333333333
GATv2,128,4,0.1,0,0.97,0.9990649836372136
GATv2,128,4,0.1,1,0.98,1.0
GATv2,128,4,0.1,2,0.96,1.0
GATv2,128,4,0.1,3,1.0,1.0
GATv2,128,4,0.1,4,0.98,0.9995833333333333
GATv2,128,4,0.3,0,0.97,0.9985974754558204
GATv2,128,4,0.3,1,0.98,0.9995659722222222
GATv2,128,4,0.3,2,0.96,0.9954827780914738
GATv2,128,4,0.3,3,1.0,1.0
GATv2,128,4,0.3,4,0.99,0.9995833333333333
GATv2,128,4,0.5,0,0.98,0.9995324918186068
GATv2,128,4,0.5,1,0.95,1.0
GATv2,128,4,0.5,2,0.96,0.9875776397515528
GATv2,128,4,0.5,3,0.96,0.9985714285714286
GATv2,128,4,0.5,4,0.96,0.9995833333333333
